period_date,year,quarter,year_quarter,mx_state,mx_municipality,remittances_musd
2013-01-01,2013,1,2013Q1,Chiapas,Marques De Comillas,0.086546
2013-01-01,2013,1,2013Q1,Chiapas,Mazapa De Madero,0
2013-01-01,2013,1,2013Q1,Chiapas,Mazatan,0.260075
2013-01-01,2013,1,2013Q1,Chiapas,Metapa,0
2013-01-01,2013,1,2013Q1,Chiapas,Mitontic,0
2013-01-01,2013,1,2013Q1,Chiapas,Montecristo De Guerrero,0
2013-01-01,2013,1,2013Q1,Chiapas,Motozintla,4.570964
2013-01-01,2013,1,2013Q1,Chiapas,Nicolas Ruiz,0
2013-01-01,2013,1,2013Q1,Chiapas,Ocosingo,1.156893
2013-01-01,2013,1,2013Q1,Chiapas,Ocotepec,0
2013-01-01,2013,1,2013Q1,Chiapas,Ocozocoautla De Espinosa,0.596066
2013-01-01,2013,1,2013Q1,Chiapas,Ostuacan,0.07729
2013-01-01,2013,1,2013Q1,Chiapas,Osumacinta,0
2013-01-01,2013,1,2013Q1,Chiapas,Oxchuc,0
2013-01-01,2013,1,2013Q1,Chiapas,Palenque,4.4443530000000004
2013-01-01,2013,1,2013Q1,Chiapas,Pantelho,0
2013-01-01,2013,1,2013Q1,Chiapas,Pantepec,0
2013-01-01,2013,1,2013Q1,Chiapas,Pichucalco,0.530004
2013-01-01,2013,1,2013Q1,Chiapas,Pijijiapan,3.03297
2013-01-01,2013,1,2013Q1,Chiapas,Pueblo Nuevo Solistahuacan,0.628621
2013-01-01,2013,1,2013Q1,Chiapas,Rayon,0
2013-01-01,2013,1,2013Q1,Chiapas,Reforma,0.343662
2013-01-01,2013,1,2013Q1,Chiapas,Sabanilla,0
2013-01-01,2013,1,2013Q1,Chiapas,Salto De Agua,0.028781
2013-01-01,2013,1,2013Q1,Chiapas,San Andres Duraznal,0
2013-01-01,2013,1,2013Q1,Chiapas,San Cristobal De Las Casas,11.660816
2013-01-01,2013,1,2013Q1,Chiapas,San Fernando,0.080939
2013-01-01,2013,1,2013Q1,Chiapas,San Juan Cancuc,0
2013-01-01,2013,1,2013Q1,Chiapas,San Lucas,0
2013-01-01,2013,1,2013Q1,Chiapas,Santiago El Pinar,0
2013-01-01,2013,1,2013Q1,Chiapas,Siltepec,0.615221
2013-01-01,2013,1,2013Q1,Chiapas,Simojovel,0.77086
2013-01-01,2013,1,2013Q1,Chiapas,Sitala,0
2013-01-01,2013,1,2013Q1,Chiapas,Socoltenango,0.107669
2013-01-01,2013,1,2013Q1,Chiapas,Solosuchiapa,0
2013-01-01,2013,1,2013Q1,Chiapas,Soyalo,0
2013-01-01,2013,1,2013Q1,Chiapas,Suchiapa,0.019648
2013-01-01,2013,1,2013Q1,Chiapas,Suchiate,2.245003
2013-01-01,2013,1,2013Q1,Chiapas,Sunuapa,0
2013-01-01,2013,1,2013Q1,Chiapas,Tapachula,13.579958
2013-01-01,2013,1,2013Q1,Chiapas,Tapalapa,0
2013-01-01,2013,1,2013Q1,Chiapas,Tapilula,0.273457
2013-01-01,2013,1,2013Q1,Chiapas,Tecpatan,1.699727
2013-01-01,2013,1,2013Q1,Chiapas,Tenejapa,3.17e-4
2013-01-01,2013,1,2013Q1,Chiapas,Teopisca,0.2735
2013-01-01,2013,1,2013Q1,Chiapas,Tila,0.006417
2013-01-01,2013,1,2013Q1,Chiapas,Tonala,2.728688
2013-01-01,2013,1,2013Q1,Chiapas,Totolapa,0
2013-01-01,2013,1,2013Q1,Chiapas,Tumbala,0
2013-01-01,2013,1,2013Q1,Chiapas,Tuxtla Chico,0.341802
2013-01-01,2013,1,2013Q1,Chiapas,Tuxtla Gutierrez,9.885183
2013-01-01,2013,1,2013Q1,Chiapas,Tuzantan,0
2013-01-01,2013,1,2013Q1,Chiapas,Tzimol,0
2013-01-01,2013,1,2013Q1,Chiapas,Union Juarez,0.049092
2013-01-01,2013,1,2013Q1,Chiapas,Venustiano Carranza,0.580885
2013-01-01,2013,1,2013Q1,Chiapas,Villa Comaltitlan,0.324732
2013-01-01,2013,1,2013Q1,Chiapas,Villa Corzo,0.888957
2013-01-01,2013,1,2013Q1,Chiapas,Villaflores,4.535363
