partition,n_cohorts,n_treated,n_controls,att,se,ci_lo,ci_hi,p_val,sig
10-20,7,329,1890,0.4943978493100833,0.02800584820998595,0.43950638681851084,0.5492893118016557,9.584637361423246e-70,***
20+,7,195,1890,-0.5143094430402769,0.24264814102387766,-0.9898997994470771,-0.03871908663347673,0.034042421118762455,**
