term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
post:geo_pga_c,0.009999087992236852,0.04294945596618677,0.23281058554289794,0.8174388099969908,-0.0775969049662115,0.0975950809506852,geographic
post:network_pga_c,-0.0016106600815092044,0.12545317589305774,-0.01283873501044093,0.989838724820463,-0.2574740992085342,0.25425277904551574,network
post:network_pga_c,-0.012430972962075362,0.14990238359519092,-0.08292712006264699,0.9344426591018303,-0.3181588999513396,0.2932969540271889,joint
post:geo_pga_c,0.012288190871942028,0.05459494113410588,0.22507929519985326,0.8233947463048978,-0.0990589256762873,0.12363530742017134,joint
