partition,n_cohorts,n_treated,n_controls,att,se,ci_lo,ci_hi,p_val,sig
4-10,1,16,32,-0.03960351219046075,0.015918383122197805,-0.07080354310996845,-0.0084034812709530525,0.012849607281132354,**
10-20,1,3,32,-0.06252533480378461,0.015206409617237307,-0.09232989765356973,-0.032720771953999486,3.926288531524818e-5,***
