partition,cohort_events,year,quarter,cohort_time_index,cohort_treated_states,att,se,ci_lo,ci_hi,p_val,sig
4-10,2017_M7.1_matzaco; 2017_M8.2_chiapas,2017,3,19,16,-0.07786830647088074,0.07802251070253716,-0.23079242744785355,0.0750558145060921,0.3182679182831712,
10-20,2017_M7.1_matzaco; 2017_M8.2_chiapas,2017,3,19,3,-0.15146134360508234,0.08437644287780102,-0.31683917164557235,0.013916484435407661,0.07264307215932662,*
