mx_region,municipalities,pre_florida_total_musd,pre_all_states_total_musd,post_florida_total_musd,post_all_states_total_musd,pre_florida_share,post_florida_share
North,338,1045.48078120607,59250.226334274,261.169221879643,21725.9559880353,0.0176451778480599,0.0120210692695627
Bajio/West,457,3877.52475973709,127064.122214762,1126.20631231396,51366.3212173977,0.0305162833705595,0.0219249945416085
Central,537,2937.16745193332,68542.2682375179,1069.52285161747,32670.607619898,0.0428519149928804,0.0327365460740949
South,762,3315.98413687847,39987.4900912294,1818.16155986011,22614.0921698125,0.0829255381949012,0.0803994936523329
Gulf/Southeast,357,995.051015245043,19822.8091137639,331.330778328825,8725.32386983061,0.0501972757511009,0.0379734647414592
