mx_region,mx_state,mx_municipality,mx_municipality_id,pre_florida_total_musd,pre_all_states_total_musd,pre_avg_quarterly_florida_musd,pre_florida_share,pre_florida_rank
Central,Puebla,Puebla,Puebla - Puebla,52.3365314130078,3784.25678234646,1.34196234392328,0.0138300687355989,39
Central,Ciudad De Mexico,Cuauhtemoc,Ciudad De Mexico - Cuauhtemoc,51.6293508865381,1519.87031857231,1.32382950991123,0.0339695763879619,40
South,Chiapas,Las Margaritas,Chiapas - Las Margaritas,49.9771118743281,266.676230907628,1.28146440703405,0.187407447991266,41
Bajio/West,Guanajuato,Silao De La Victoria,Guanajuato - Silao De La Victoria,49.5990235803865,520.507143062455,1.27176983539453,0.0952898038796658,42
Bajio/West,Michoacan De Ocampo,Huetamo,Michoacan De Ocampo - Huetamo,49.5750213491202,820.008782528819,1.27115439356718,0.0604566955932303,43
Bajio/West,Guanajuato,Acambaro,Guanajuato - Acambaro,49.2566629371931,1037.94816187538,1.26299135736393,0.0474558024633866,44
South,Chiapas,Pueblo Nuevo Solistahuacan,Chiapas - Pueblo Nuevo Solistahuacan,48.9339528234142,84.6901228467923,1.2547167390619,0.577799998140723,45
Bajio/West,Jalisco,Guadalajara,Jalisco - Guadalajara,48.4634798297985,3910.65338480052,1.24265332896919,0.0123926809822013,46
Bajio/West,Guanajuato,Yuriria,Guanajuato - Yuriria,48.0941400403104,850.136172439719,1.23318307795668,0.0565722781825528,47
South,Chiapas,Mapastepec,Chiapas - Mapastepec,47.576340506829,242.990180327677,1.21990616684177,0.195795321616172,48
Gulf/Southeast,Tabasco,Centro,Tabasco - Centro,45.5983094748091,704.067418638377,1.169187422431,0.0647641238150083,49
Gulf/Southeast,Veracruz De Ignacio De La Llave,Veracruz,Veracruz De Ignacio De La Llave - Veracruz,45.0118600225755,814.192787897517,1.15415025698912,0.0552840318554151,50
