study,subgroup,sample,fixed_effects,clusters,relative_quarter,calendar_quarter,is_reference_period,term,estimate,std.error,statistic,p.value,conf.low,conf.high,estimate_pct,conf.low_pct,conf.high_pct
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,0,2022 Q4,FALSE,relative_quarter::0:florida,0.0044820028051383,0.000452587165534021,9.90307093629102,0.000000000000348080945698721,0.00357201531926096,0.00539199029101563,0.449206200254637,0.357840256883502,0.540655323331407
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,1,2023 Q1,FALSE,relative_quarter::1:florida,-0.0141823380817638,0.0017479039314219,-8.11391165544586,0.000000000148237867231889,-0.0176967344792687,-0.0106679416842589,-1.4082242480308,-1.75410668955499,-1.06112410000179
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,2,2023 Q2,FALSE,relative_quarter::2:florida,-0.0204998961464035,0.00149960047534218,-13.6702384958406,0.00000000000000000359901821462237,-0.0235150449846763,-0.0174847473081307,-2.02912017792052,-2.32407207700907,-1.73327761288566
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,3,2023 Q3,FALSE,relative_quarter::3:florida,0.00572393536165757,0.00289564111817763,1.9767419814994,0.0538311545837021,-0.000098141316156263,0.0115460120394714,0.574034838041282,-0.00981365004548707,1.16129245125807
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,4,2023 Q4,FALSE,relative_quarter::4:florida,0.00716312729467627,0.0027691232384444,2.58678530273729,0.012774217145121,0.00159543186331498,0.0127308227260376,0.718884385799723,0.159670524183642,1.28122046358714
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,5,2024 Q1,FALSE,relative_quarter::5:florida,0.0142546497607119,0.00336031854756875,4.24205311458504,0.000100461130708722,0.00749827649228078,0.021011023029143,1.43567317515587,0.752645896340809,2.12333086600085
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,6,2024 Q2,FALSE,relative_quarter::6:florida,0.0110374329359298,0.00257487695747341,4.28658655082308,0.0000869527410150366,0.005860295828628,0.0162145700432315,1.10985701243345,0.587750095485107,1.63467395751609
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,7,2024 Q3,FALSE,relative_quarter::7:florida,0.000645246930853555,0.00287789150129652,0.224208219998171,0.823546926453335,-0.0051411417503246,0.00643163561203171,0.0645455147435747,-0.512794869987332,0.645236299351581
Regional TWFE event study,North,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,8,2024 Q4,FALSE,relative_quarter::8:florida,0.00417275953127475,0.00292713130688043,1.42554572849752,0.160470449893782,-0.00171263241446908,0.0100581514770186,0.418147761426457,-0.171116669644034,1.01089047010698
Regional TWFE event study,Bajio/West,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-16,2018 Q4,FALSE,relative_quarter::-16:florida,0.0277695091927402,0.00760739646951665,3.65033021533904,0.000645508194535441,0.0124738134361021,0.0430652049493782,2.81586759851225,1.25519359374893,4.40059669874964
Regional TWFE event study,Bajio/West,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-15,2019 Q1,FALSE,relative_quarter::-15:florida,0.0256276144665652,0.00895336841958717,2.86234334002161,0.00621446962661229,0.00762566072432806,0.0436295682088023,2.59588251048819,0.765481012243385,4.45953318901893
Regional TWFE event study,Bajio/West,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-14,2019 Q2,FALSE,relative_quarter::-14:florida,0.032863590983113,0.00710045846887695,4.62837591785969,0.0000282189720246356,0.0185871623905216,0.0471400195757043,3.34095632437617,1.87609789420748,4.82687769536012
Regional TWFE event study,Bajio/West,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-13,2019 Q3,FALSE,relative_quarter::-13:florida,0.019919340880901,0.00658955736810782,3.0228647795536,0.00401011018451543,0.0066701477992246,0.0331685339625775,2.01190548039372,0.669244277775793,3.37247422883604
Regional TWFE event study,Bajio/West,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-12,2019 Q4,FALSE,relative_quarter::-12:florida,0.0159406490705787,0.00684772761880515,2.32787429026859,0.0241808088637179,0.00217236990946562,0.0297089282316917,1.60683790138423,0.217473121454392,3.01546413774063
Regional TWFE event study,Bajio/West,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-11,2020 Q1,FALSE,relative_quarter::-11:florida,0.0377855841391178,0.00586498686900007,6.44256926453441,0.0000000526794889133677,0.0259932376872965,0.049577930590939,3.85085363026669,2.63340080584749,5.08274806305171
Regional TWFE event study,Bajio/West,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-10,2020 Q2,FALSE,relative_quarter::-10:florida,0.0179500456715205,0.00480943158668949,3.73225928011924,0.00050250024811814,0.0082800353589067,0.0276200559841342,1.81121160123841,0.831440965965524,2.80050258540789
Regional TWFE event study,Bajio/West,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-9,2020 Q3,FALSE,relative_quarter::-9:florida,0.00225130000280612,0.0048437929425291,0.464780396172475,0.644190259148198,-0.00748779844617785,0.0119903984517901,0.225383608145835,-0.745983472249767,1.20625714518554
Regional TWFE event study,Bajio/West,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-8,2020 Q4,FALSE,relative_quarter::-8:florida,0.010265558022232,0.00446418319696805,2.2995378032882,0.0258675593531198,0.00128971612200598,0.019241399922458,1.03184296269527,0.129054816350438,1.94277086866008
Regional TWFE event study,Bajio/West,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-7,2021 Q1,FALSE,relative_quarter::-7:florida,0.0284521824600043,0.00409615419951291,6.94607211403018,0.00000000889502837003116,0.0202163124538752,0.0366880524661334,2.88608120652203,2.04220461519449,3.73693655437561
Regional TWFE event study,Bajio/West,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-6,2021 Q2,FALSE,relative_quarter::-6:florida,0.0361545466237314,0.00189579757825695,19.0708897608008,0.00000000000000000000000483855477005861,0.0323427901194681,0.0399663031279946,3.68160705326936,3.28715027740658,4.07757027158513
Regional TWFE event study,Bajio/West,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-5,2021 Q3,FALSE,relative_quarter::-5:florida,0.00986507148181401,0.00209946650251667,4.69884681179173,0.0000222990395070551,0.0056438111593862,0.0140863318042418,0.991389170575396,0.565976746559049,1.41860116673695
Regional TWFE event study,Bajio/West,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-4,2021 Q4,FALSE,relative_quarter::-4:florida,0.0162773107526879,0.00160891440051016,10.1169526157057,0.000000000000172860475652856,0.01304237153698,0.0195122499683958,1.64105078910692,1.31277942321628,1.97038581241846
Regional TWFE event study,Bajio/West,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-3,2022 Q1,FALSE,relative_quarter::-3:florida,0.0188912737038199,0.00243429968010037,7.76045523821498,0.000000000507710670852467,0.0139967861565366,0.0237857612511033,1.90708427954815,1.4095199790026,2.40708987192932
Regional TWFE event study,Bajio/West,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-2,2022 Q2,FALSE,relative_quarter::-2:florida,0.0155398753662303,0.001240726087233,12.5248235901015,0.0000000000000000974213254409933,0.0130452283705485,0.018034522361912,1.56612471150426,1.31306885737887,1.8198126387277
Regional TWFE event study,Bajio/West,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,-1,2022 Q3,TRUE,Reference quarter,0,,,,0,0,0,0,0
Regional TWFE event study,Bajio/West,North Carolina and South Carolina excluded,US state-municipality pair; Mexican municipality-quarter,US state; Mexican municipality,0,2022 Q4,FALSE,relative_quarter::0:florida,0.00910096818210993,0.00101103723142086,9.00161527120017,0.00000000000705279469616462,0.00706814158336298,0.0111337947808569,0.914250791466609,0.709317985266544,1.11960061424365
