florida_group,post_ian,state_quarters,avg_quarterly_total_musd,median_quarterly_total_musd,avg_quarterly_log1p_total
Florida,0,39,312.082260128205,306.519314,5.71185536435891
Florida,1,9,511.821191555555,544.087132,6.22421672758944
Other states,0,1950,155.126004024102,56.7446520000001,3.90459801593127
Other states,1,450,294.435355868889,117.482216,4.65593093339917
