mx_state,mx_municipality,validation_status,resolution,official_state,official_municipality,candidate_count,candidate_states,drop_reason
Chiapas,Berriozabal,resolved,exact_same_state,Chiapas,Berriozabal,1,Chiapas,NA
Chiapas,Bochil,resolved,exact_same_state,Chiapas,Bochil,1,Chiapas,NA
Chiapas,Cacahoatan,resolved,exact_same_state,Chiapas,Cacahoatan,1,Chiapas,NA
Chiapas,Catazaja,resolved,exact_same_state,Chiapas,Catazaja,1,Chiapas,NA
Chiapas,Chalchihuitan,resolved,exact_same_state,Chiapas,Chalchihuitan,1,Chiapas,NA
Chiapas,Chamula,resolved,exact_same_state,Chiapas,Chamula,1,Chiapas,NA
Chiapas,Chanal,resolved,exact_same_state,Chiapas,Chanal,1,Chiapas,NA
Chiapas,Chapultenango,resolved,exact_same_state,Chiapas,Chapultenango,1,Chiapas,NA
Chiapas,Chenalho,resolved,exact_same_state,Chiapas,Chenalho,1,Chiapas,NA
Chiapas,Chiapa De Corzo,resolved,exact_same_state,Chiapas,Chiapa De Corzo,1,Chiapas,NA
Chiapas,Chiapilla,resolved,exact_same_state,Chiapas,Chiapilla,1,Chiapas,NA
Chiapas,Chicoasen,resolved,exact_same_state,Chiapas,Chicoasen,1,Chiapas,NA
Chiapas,Chicomuselo,resolved,exact_same_state,Chiapas,Chicomuselo,1,Chiapas,NA
Chiapas,Chilon,resolved,exact_same_state,Chiapas,Chilon,1,Chiapas,NA
Chiapas,Coapilla,resolved,exact_same_state,Chiapas,Coapilla,1,Chiapas,NA
Chiapas,Comitan De Dominguez,resolved,exact_same_state,Chiapas,Comitan De Dominguez,1,Chiapas,NA
Chiapas,Copainala,resolved,exact_same_state,Chiapas,Copainala,1,Chiapas,NA
Chiapas,El Bosque,resolved,exact_same_state,Chiapas,El Bosque,1,Chiapas,NA
Chiapas,El Porvenir,resolved,exact_same_state,Chiapas,El Porvenir,1,Chiapas,NA
Chiapas,Escuintla,resolved,exact_same_state,Chiapas,Escuintla,1,Chiapas,NA
Chiapas,Francisco Leon,resolved,exact_same_state,Chiapas,Francisco Leon,1,Chiapas,NA
Chiapas,Frontera Comalapa,resolved,exact_same_state,Chiapas,Frontera Comalapa,1,Chiapas,NA
Chiapas,Frontera Hidalgo,resolved,exact_same_state,Chiapas,Frontera Hidalgo,1,Chiapas,NA
Chiapas,Huehuetan,resolved,exact_same_state,Chiapas,Huehuetan,1,Chiapas,NA
Chiapas,Huitiupan,resolved,exact_same_state,Chiapas,Huitiupan,1,Chiapas,NA
Chiapas,Huixtan,resolved,exact_same_state,Chiapas,Huixtan,1,Chiapas,NA
Chiapas,Huixtla,resolved,exact_same_state,Chiapas,Huixtla,1,Chiapas,NA
Chiapas,Ixhuatan,resolved,exact_same_state,Chiapas,Ixhuatan,1,Chiapas,NA
Chiapas,Ixtacomitan,resolved,exact_same_state,Chiapas,Ixtacomitan,1,Chiapas,NA
Chiapas,Ixtapa,resolved,exact_same_state,Chiapas,Ixtapa,1,Chiapas,NA
Chiapas,Ixtapangajoya,resolved,exact_same_state,Chiapas,Ixtapangajoya,1,Chiapas,NA
Chiapas,Jiquipilas,resolved,exact_same_state,Chiapas,Jiquipilas,1,Chiapas,NA
Chiapas,Jitotol,resolved,exact_same_state,Chiapas,Jitotol,1,Chiapas,NA
Chiapas,Juarez,resolved,exact_same_state,Chiapas,Juarez,5,Chiapas | Chihuahua | Coahuila De Zaragoza | Michoacan De Ocampo | Nuevo Leon,NA
Chiapas,La Concordia,resolved,exact_same_state,Chiapas,La Concordia,1,Chiapas,NA
Chiapas,La Grandeza,resolved,exact_same_state,Chiapas,La Grandeza,1,Chiapas,NA
Chiapas,La Independencia,resolved,exact_same_state,Chiapas,La Independencia,1,Chiapas,NA
Chiapas,La Libertad,resolved,exact_same_state,Chiapas,La Libertad,1,Chiapas,NA
Chiapas,La Trinitaria,resolved,exact_same_state,Chiapas,La Trinitaria,1,Chiapas,NA
Chiapas,Larrainzar,resolved,exact_same_state,Chiapas,Larrainzar,1,Chiapas,NA
Chiapas,Las Margaritas,resolved,exact_same_state,Chiapas,Las Margaritas,1,Chiapas,NA
Chiapas,Las Rosas,resolved,exact_same_state,Chiapas,Las Rosas,1,Chiapas,NA
Chiapas,Mapastepec,resolved,exact_same_state,Chiapas,Mapastepec,1,Chiapas,NA
Chiapas,Maravilla Tenejapa,resolved,exact_same_state,Chiapas,Maravilla Tenejapa,1,Chiapas,NA
Chiapas,Marques De Comillas,resolved,exact_same_state,Chiapas,Marques De Comillas,1,Chiapas,NA
Chiapas,Mazapa De Madero,resolved,exact_same_state,Chiapas,Mazapa De Madero,1,Chiapas,NA
