period_date,year,quarter,year_quarter,mx_state,mx_municipality,remittances_musd
2014-01-01,2014,1,2014Q1,Oaxaca,Miahuatlan De Porfirio Diaz,11.292905
2014-01-01,2014,1,2014Q1,Oaxaca,San Blas Atempa,0.002546
2014-01-01,2014,1,2014Q1,Oaxaca,San Juan Mixtepec - Distr. 08 -,2.264199
2014-01-01,2014,1,2014Q1,Oaxaca,San Juan Mixtepec - Distr. 26 -,0
2014-01-01,2014,1,2014Q1,Oaxaca,San Martin De Los Cansecos,0
2014-01-01,2014,1,2014Q1,Oaxaca,San Pedro Mixtepec - Distr. 22 -,10.023553
2014-01-01,2014,1,2014Q1,Oaxaca,San Pedro Mixtepec - Distr. 26 -,0.044803
2014-01-01,2014,1,2014Q1,Oaxaca,Santiago Chazumba,0.276631
2014-01-01,2014,1,2014Q1,Oaxaca,Villa Hidalgo,0.38634
2014-01-01,2014,1,2014Q1,Oaxaca,Zapotitlan Del Rio,0
2014-01-01,2014,1,2014Q1,San Luis Potosi,Ahualulco,0.998891
2014-04-01,2014,2,2014Q2,Chiapas,Cintalapa,2.027044
2014-04-01,2014,2,2014Q2,Chihuahua,Rosario,0
2014-04-01,2014,2,2014Q2,Guanajuato,Dolores Hidalgo Cuna De La Independencia Nal.,33.393334
2014-04-01,2014,2,2014Q2,Guerrero,Apaxtla,0.888232
2014-04-01,2014,2,2014Q2,Oaxaca,Miahuatlan De Porfirio Diaz,11.958839
2014-04-01,2014,2,2014Q2,Oaxaca,San Blas Atempa,8.75e-4
2014-04-01,2014,2,2014Q2,Oaxaca,San Juan Mixtepec - Distr. 08 -,3.254305
2014-04-01,2014,2,2014Q2,Oaxaca,San Juan Mixtepec - Distr. 26 -,0
2014-04-01,2014,2,2014Q2,Oaxaca,San Martin De Los Cansecos,0
2014-04-01,2014,2,2014Q2,Oaxaca,San Pedro Mixtepec - Distr. 22 -,10.514411
2014-04-01,2014,2,2014Q2,Oaxaca,San Pedro Mixtepec - Distr. 26 -,0.040082
2014-04-01,2014,2,2014Q2,Oaxaca,Santiago Chazumba,0.31939
2014-04-01,2014,2,2014Q2,Oaxaca,Villa Hidalgo,0.470984
2014-04-01,2014,2,2014Q2,Oaxaca,Zapotitlan Del Rio,0
2014-04-01,2014,2,2014Q2,San Luis Potosi,Ahualulco,1.208125
2014-07-01,2014,3,2014Q3,Chiapas,Cintalapa,1.616721
2014-07-01,2014,3,2014Q3,Chihuahua,Rosario,0
2014-07-01,2014,3,2014Q3,Guanajuato,Dolores Hidalgo Cuna De La Independencia Nal.,31.060657
2014-07-01,2014,3,2014Q3,Guerrero,Apaxtla,0.839316
2014-07-01,2014,3,2014Q3,Oaxaca,Miahuatlan De Porfirio Diaz,12.459332
2014-07-01,2014,3,2014Q3,Oaxaca,San Blas Atempa,0
2014-07-01,2014,3,2014Q3,Oaxaca,San Juan Mixtepec - Distr. 08 -,3.869886
2014-07-01,2014,3,2014Q3,Oaxaca,San Juan Mixtepec - Distr. 26 -,0
2014-07-01,2014,3,2014Q3,Oaxaca,San Martin De Los Cansecos,0
2014-07-01,2014,3,2014Q3,Oaxaca,San Pedro Mixtepec - Distr. 22 -,10.062562
2014-07-01,2014,3,2014Q3,Oaxaca,San Pedro Mixtepec - Distr. 26 -,0.026418
2014-07-01,2014,3,2014Q3,Oaxaca,Santiago Chazumba,0.359335
2014-07-01,2014,3,2014Q3,Oaxaca,Villa Hidalgo,0.393754
2014-07-01,2014,3,2014Q3,Oaxaca,Zapotitlan Del Rio,0
2014-07-01,2014,3,2014Q3,San Luis Potosi,Ahualulco,1.042253
2014-10-01,2014,4,2014Q4,Chiapas,Cintalapa,1.651912
2014-10-01,2014,4,2014Q4,Chihuahua,Rosario,0
2014-10-01,2014,4,2014Q4,Guanajuato,Dolores Hidalgo Cuna De La Independencia Nal.,27.470929
2014-10-01,2014,4,2014Q4,Guerrero,Apaxtla,0.800879
2014-10-01,2014,4,2014Q4,Oaxaca,Miahuatlan De Porfirio Diaz,12.361672
2014-10-01,2014,4,2014Q4,Oaxaca,San Blas Atempa,1.8e-5
2014-10-01,2014,4,2014Q4,Oaxaca,San Juan Mixtepec - Distr. 08 -,1.63597
2014-10-01,2014,4,2014Q4,Oaxaca,San Juan Mixtepec - Distr. 26 -,0
2014-10-01,2014,4,2014Q4,Oaxaca,San Martin De Los Cansecos,0
2014-10-01,2014,4,2014Q4,Oaxaca,San Pedro Mixtepec - Distr. 22 -,10.539144
2014-10-01,2014,4,2014Q4,Oaxaca,San Pedro Mixtepec - Distr. 26 -,0.040388
2014-10-01,2014,4,2014Q4,Oaxaca,Santiago Chazumba,0.34857900000000003
2014-10-01,2014,4,2014Q4,Oaxaca,Villa Hidalgo,0.376508
2014-10-01,2014,4,2014Q4,Oaxaca,Zapotitlan Del Rio,0
2014-10-01,2014,4,2014Q4,San Luis Potosi,Ahualulco,1.109475
2015-01-01,2015,1,2015Q1,Chiapas,Cintalapa,1.785234
2015-01-01,2015,1,2015Q1,Chihuahua,Rosario,0
2015-01-01,2015,1,2015Q1,Guanajuato,Dolores Hidalgo Cuna De La Independencia Nal.,26.595846
2015-01-01,2015,1,2015Q1,Guerrero,Apaxtla,0.776232
2015-01-01,2015,1,2015Q1,Oaxaca,Miahuatlan De Porfirio Diaz,12.151687
2015-01-01,2015,1,2015Q1,Oaxaca,San Blas Atempa,0
2015-01-01,2015,1,2015Q1,Oaxaca,San Juan Mixtepec - Distr. 08 -,0.256788
2015-01-01,2015,1,2015Q1,Oaxaca,San Juan Mixtepec - Distr. 26 -,0
