partition,n_cohorts,n_treated,n_controls,att,se,ci_lo,ci_hi,p_val,sig
4-10,7,38454,57936,2.6748871131808595e-4,0.0019297213330901717,-0.0035147651015386507,0.004049742524174823,0.8897542302662652,
10-20,7,16779,57936,0.006041630374806715,0.0026588435582130285,8.302970007091799e-4,0.01125296374890425,0.023069755322298113,**
20+,7,9945,57936,0.008207989564447545,0.003254027927199891,0.0018300948271357583,0.014585884301759331,0.011655407868220601,**
