term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
post:geo_pga_c,0.039948274334151566,0.009294616165346393,4.298001512218742,1.7317488208688266e-5,0.021730038313122885,0.05816651035518025,geographic
post:network_pga_c,0.006621314780527003,0.0030385325093902848,2.1791159910464946,0.029328080968564537,6.657446589999798e-4,0.012576884902054025,network
post:network_pga_c,0.011655332316986549,0.00509174010003363,2.2890666231981416,0.022086047942957807,0.0016750898572709724,0.021635574776702124,joint
post:geo_pga_c,0.03566450333861096,0.009771143725662798,3.6499824728749197,2.6293839715559877e-4,0.01651223288195524,0.05481677379526668,joint
