partition,n_cohorts,n_treated,n_controls,att,se,ci_lo,ci_hi,p_val,sig
10-20,7,16779,96390,0.003122867512809167,0.002561428036294357,-0.0018975314383277726,0.008143266463946107,0.22277207688161552,
20+,7,9945,96390,0.004402575527010837,0.003105255228188419,-0.0016837247202384645,0.010488875774260137,0.15625436836169057,
