"mx_state","mx_municipality","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District Of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Aguascalientes","Aguascalientes",0.00362051863379021,6.54168600791013e-05,0.0110121587265805,0.011596779657146,0.247422210767052,0.0550071929144192,0.00162617721295167,0.00107963975393719,1.85818102616879e-05,0.0287501465986735,0.0181803314363284,8.07872640002406e-05,0.00291144998725997,0.0977247514483732,0.0873859957987773,0.00783241835997265,0.0137485426001949,0.0106579603319563,0.0029074427546678,0,0.00136065862558239,0.000411738108063812,0.00830645542078532,0.00489685872782353,0.00162885776463014,0.00482569716799896,0.000359626557511868,0.0062031481038517,0.0200598174981081,6.95729671560542e-05,0.00109285064787649,0.0128444024423439,0.00226878855428169,0.0175774096825758,0.000313592542014595,0.00421989103427315,0.0429025252584361,0.00234594074654524,0.00217992333505882,5.28509478393362e-05,0.00456240837940263,0.000510511217561843,0.0144764525327211,0.209957104638959,0.0113684301386555,0,0.0047065649082062,0.00928854333861702,9.0190023827424e-05,0.00785655229433697,0.00163413347853265
"Aguascalientes","Asientos",0.00192236843159441,0,0.00446016456850392,0.0201396418282707,0.154376660357561,0.0691304601475432,0.000249423980886231,0,0,0.0222780351819429,0.0171405268284549,0,0.00187773601917396,0.171793063614984,0.0391332120469187,0.00112379073647143,0.00856941664312054,0.00317445447660928,0.000976403025284482,0,0.00148939890525728,0.000192964005673408,0.00442822756950119,0.00144285976896705,0.00161362565929852,0.000226299100192735,0,0.00209137812422911,0.00634275953604707,0,0.000192704865454163,0.00870694276036152,0.00551950900213001,0.0476423046662768,0,0.00156094148554399,0.0468288429885287,0.000870136960450925,0,0,0.0041410956308155,0,0.0262975288080586,0.304250864850704,0.0134069850161665,0,0.00126534126480191,0.00320890280922975,0,0.00176952033522117,0.000165507999770047
"Aguascalientes","Calvillo",0.00300040569884795,0,0.00505936967955811,0.00510367811202907,0.202576323663606,0.0624727041513481,6.51360420625501e-05,0.000141849320307381,7.06072677868866e-05,0.0143486256544423,0.0290343636114812,0.000229961455769036,0.0131908398519296,0.183961310459206,0.0162674332497964,0.00256554180148487,0.0272427581250895,0.00213841918190322,0.00157220602775398,0,0.000382036366459604,0,0.00172339049336133,0.00317789980620053,0.00279569347061604,0.00215220803886654,0.00105550879972045,0.0015211955709028,0.00779052096228566,0,6.24010923337419e-05,0.0041145142568689,0.000587976554719536,0.0279404170184461,0.000587888336527618,0.00285615191174208,0.239149985300196,0.00471131797746972,0.000454977373645845,0,0.00146920579079321,0.00283004481261979,0.00339013287992725,0.0919037935309263,0.014438894446345,0,0.000941029661218408,0.00921833743533726,0,0.0052343705834582,0.000468574174609887
"Aguascalientes","Cosio",0.00128746604268575,0,0.00399435517215479,0.0047919396469544,0.226908981530436,0.289319351851386,0,0,0,0.00955230142232619,0.00254858684270757,0,0.0045504686018001,0.0212028856762215,0.00900572456665012,0,0.0109269501555778,0.000933488879928157,0.00128209687891904,0,0.000564008664608781,0,0.00314510557702706,0,0,0.0147797742908906,0,0.00120745377721778,0.189192414788504,0,0,0.059052172657777,0,0,0,0.000628310256882618,0.0209293115617218,0.0045180017195183,0,0,0.000466744439964078,0,0.00256419375783807,0.0931497084968519,0.0144791331900162,0,0.00194851569062871,0.000466744439964078,0,0.00660380942284167,0
"Aguascalientes","Delicias",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Aguascalientes","El Llano",0.00517894416370319,0,0.00330843568035159,0.00988829293397506,0.094856571945441,0.0212286439262267,0,0.000995125652612969,0,0.165731573853809,0.00315154368282325,0,0.0106065036667583,0.0412237748694677,0.284321870980165,0.00377357968169693,0.00566705318982973,0.00102881296739517,0.00273931243926778,0,0.000847398663244551,0,0.00102881296739517,0.00102881296739517,0.0038601804753941,0,0,0.00684846550891034,0.00289411033415322,0,0,0.00101244442847952,0,0.0259208407954874,0,0.000848538204142301,0.0754924518804033,0,0,0,0.00285446443689374,0,0.0247340907506467,0.181019395896497,0.0052968246666229,0,0.00673138923488263,0.00402075652330781,0,0.00186098263262182,0
"Aguascalientes","Jesus Maria",0.00178845023106468,0.000173958934076843,0.0132725486835652,0.00990490592218868,0.244589510385998,0.121641593909825,0.000538847485896192,0.00111671467405525,0,0.0197550969460212,0.0136729177577853,0,0.00307966744572005,0.140571706622021,0.0532126296637777,0.0249597895363354,0.00960994035632566,0.0102872916211394,0.00109846059275546,0,0.000783949049011889,0.000293386832215555,0.00838823454266303,0.0167904709902565,0.000715221008446666,0.00451370282415081,0.000505422102006893,0.00444589357190406,0.00933361663084682,0,0.00170602356162769,0.0331205787061411,0.00124730905443555,0.0149449721325599,0,0.00432572065856084,0.040788016100166,0.0011329540413712,0.000384876022192398,0,0.00216023196276068,0.00201964154123505,0.013865954179047,0.139832931586994,0.0119047743705454,0,0.00242215547061334,0.011371047440884,0.000293386832215555,0.00266910169062886,0.000766396327967714
"Aguascalientes","Pabellon De Arteaga",0.00114784624721444,0,0.00765779845930708,0.0223940577542236,0.156465996883805,0.0997325372439178,0.000770660758381803,0,0.000323266731494467,0.0225313140136811,0.0113159359859492,0,0.000477878036702477,0.0782280258678674,0.0131603148458373,0.00849158964122982,0.0116358265725968,0.0333119473944698,0.00257368149689481,0,0.000933001387958566,0.000135529886672237,0.00237070707753623,0,0.00272332330210357,0.00539324090091252,0,0.00737833602790319,0.016649966823216,0,0.00030217951107723,0.00592841443683639,0.00178800422240118,0.0224622755785054,0,0.0044610656393656,0.0821901348021935,0.0029985833467971,0.00100130189291936,0,0.00259475724139873,0.000648833583935135,0.00997622909112245,0.314095294683863,0.0198894683330117,0,0.00221250912056824,0.0138967916697128,0,0.00486621132697683,0.00488516217943959
"Aguascalientes","Rincon De Romos",0.0008379449040862,0.000508736274820168,0.00517431674345703,0.0415691787017007,0.156716177481732,0.153478132661318,0.000602701262767064,0,0,0.012476799906509,0.00704202647388893,0,0.00307003603170813,0.0346071382191889,0.00869222268454642,0.0057575351518006,0.00774214268578693,0.00976273794242022,0.00394189176278098,0,0.00391952824565637,0,0.00352047305349011,0.00142847665192778,0.00181752518079954,0.0125939904137165,7.20102523086555e-05,0.0388176928684422,0.0320937853789551,0,0.000470365186574629,0.0141271751870929,0.000969176898375317,0.0128823151975746,0,0.00518350905032674,0.195852438793585,0.00232692491239491,0.000485154328035227,0,0.00451803453087926,0.000504237633257811,0.0132186011455833,0.160781853018054,0.0279488445095504,0,0.00291754273860662,0.00554519028891426,0,0.00411654021575033,0.00190889543163683
"Aguascalientes","San Francisco De Los Romo",0.000700591288316946,0,0.0147117125213043,0.0421881500989994,0.130738916357817,0.0786931264521125,0.00179808318254452,0,0,0.0188244813214026,0.00544401940544806,0,0.00309425430425218,0.296857233671463,0.0149846943522097,0.0301804982671478,0.00617272962573645,0.121610032046627,0,0,0.00165284729964707,0,0.0030756849473754,0.00450956998068806,0,0.00890075324022942,0,0.000700591288316946,0.00847952847148129,0,0,0.00712917964070249,0.00153763502848754,0.0125005792572704,0,0.00240174431941762,0.0119907561176084,0,0,0,0.000700591288316946,0,0.0136820226827012,0.130045012137948,0.00671131006185655,0,0.0031051390988898,0.0118774862700175,0,0.00500104597366422,0
