"adm2_name","adm2_name1","adm2_name2","adm2_name3","adm2_pcode","adm1_name","adm1_name1","adm1_name2","adm1_name3","adm1_pcode","adm0_name","adm0_name1","adm0_name2","adm0_name3","adm0_pcode","valid_on","valid_to","area_sqkm","version","lang","lang1","lang2","lang3","adm2_ref_n","center_lat","center_lon","mean_intensity","mean_pga"
"San Juan Yucuita",,,,"MX20224","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,23.38935132,"v02","es",,,,"San Juan Yucuita",17.52170221,-97.26442882,3.56658591447644,0.884858008784557
"San Juanito de Escobedo",,,,"MX14007","Jalisco",,,,"MX14","México",,,,"MX",2021-06-18,,194.71016473,"v02","es",,,,"San Juanito de Escobedo",20.81369918,-103.99230668,,
"San Julián",,,,"MX14074","Jalisco",,,,"MX14","México",,,,"MX",2021-06-18,,261.93916351,"v02","es",,,,"San Julian",20.99387204,-102.15835706,,
"San Lorenzo",,,,"MX20225","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,58.58785254,"v02","es",,,,"San Lorenzo",16.41774552,-97.88533754,4.01084495881594,2.06350140549558
"San Lorenzo Albarradas",,,,"MX20226","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,134.4292637,"v02","es",,,,"San Lorenzo Albarradas",16.8887384,-96.26710572,,
"San Lorenzo Axocomanitla",,,,"MX29054","Tlaxcala",,,,"MX29","México",,,,"MX",2021-06-18,,4.49613507,"v02","es",,,,"San Lorenzo Axocomanitla",19.2150878,-98.2645704,3.51691729488443,0.765836959396575
"San Lorenzo Cacaotepec",,,,"MX20227","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,27.60422877,"v02","es",,,,"San Lorenzo Cacaotepec",17.12592453,-96.80752969,3.55940692609871,0.788451959112719
"San Lorenzo Cuaunecuiltitla",,,,"MX20228","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,9.17300148,"v02","es",,,,"San Lorenzo Cuaunecuiltitla",18.2156317,-96.915237,3.37715150757668,0.512118007119071
"San Lorenzo Texmelúcan",,,,"MX20229","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,137.38837248,"v02","es",,,,"San Lorenzo Texmelucan",16.53463546,-97.17947461,4.18894381089595,1.75108362487096
"San Lorenzo Victoria",,,,"MX20230","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,51.97513547,"v02","es",,,,"San Lorenzo Victoria",17.62507028,-98.11582362,3.94555011047887,2.06866089522126
"San Lucas",,,,"MX07110","Chiapas",,,,"MX07","México",,,,"MX",2021-06-18,,94.03568884,"v02","es",,,,"San Lucas",16.62792679,-92.74221081,,
"San Lucas",,,,"MX16077","Michoacán de Ocampo",,,,"MX16","México",,,,"MX",2021-06-18,,467.9077056,"v02","es",,,,"San Lucas",18.58804024,-100.79846368,3.86484897340612,1.6391874705231
"San Lucas Camotlán",,,,"MX20231","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,101.59725987,"v02","es",,,,"San Lucas Camotlan",16.93627407,-95.69150606,,
"San Lucas Ojitlán",,,,"MX20232","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,454.88525759,"v02","es",,,,"San Lucas Ojitlan",18.03459344,-96.37086783,3.16986380264836,0.435775025186917
"San Lucas Quiaviní",,,,"MX20233","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,51.77534606,"v02","es",,,,"San Lucas Quiavini",16.88270168,-96.45460353,3.3564005671415,0.577114202882249
"San Lucas Tecopilco",,,,"MX29055","Tlaxcala",,,,"MX29","México",,,,"MX",2021-06-18,,28.80213272,"v02","es",,,,"San Lucas Tecopilco",19.48883018,-98.25415779,3.36433992853533,0.581506787366204
"San Lucas Zoquiápam",,,,"MX20234","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,64.95481887,"v02","es",,,,"San Lucas Zoquiapam",18.11126,-96.91796346,3.34539550424079,0.521801604217329
"San Luis Acatlán",,,,"MX12052","Guerrero",,,,"MX12","México",,,,"MX",2021-06-18,,1097.67697156,"v02","es",,,,"San Luis Acatlan",16.87008552,-98.72220745,4.80506945206747,5.99509610110932
"San Luis Amatlán",,,,"MX20235","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,288.99496825,"v02","es",,,,"San Luis Amatlan",16.47088421,-96.48888623,3.36185975400709,0.587237194587843
"San Luis de la Paz",,,,"MX11033","Guanajuato",,,,"MX11","México",,,,"MX",2021-06-18,,2031.31358089,"v02","es",,,,"San Luis de la Paz",21.3808525,-100.48180376,,
"San Luis del Cordero",,,,"MX10029","Durango",,,,"MX10","México",,,,"MX",2021-06-18,,604.76328762,"v02","es",,,,"San Luis del Cordero",25.39127282,-104.33451309,,
"San Luis Potosí",,,,"MX24028","San Luis Potosí",,,,"MX24","México",,,,"MX",2021-06-18,,1482.00310688,"v02","es",,,,"San Luis Potosi",22.30896255,-100.92619846,,
"San Luis Río Colorado",,,,"MX26055","Sonora",,,,"MX26","México",,,,"MX",2021-06-18,,8865.29446495,"v02","es",,,,"San Luis Rio Colorado",31.99391463,-114.29077318,,
"San Marcial Ozolotepec",,,,"MX20236","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,53.77690355,"v02","es",,,,"San Marcial Ozolotepec",16.03225973,-96.40419657,3.24409481348892,0.476187802199587
"San Marcos",,,,"MX12053","Guerrero",,,,"MX12","México",,,,"MX",2021-06-18,,1154.22334724,"v02","es",,,,"San Marcos",16.84611106,-99.39132593,6.49914190117839,24.2510706774993
"San Marcos",,,,"MX14075","Jalisco",,,,"MX14","México",,,,"MX",2021-06-18,,305.5098931,"v02","es",,,,"San Marcos",20.82346397,-104.24635359,,
"San Marcos Arteaga",,,,"MX20237","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,127.8866167,"v02","es",,,,"San Marcos Arteaga",17.74601476,-97.9426642,3.87088602781913,1.67921168128602
"San Martín Chalchicuautla",,,,"MX24029","San Luis Potosí",,,,"MX24","México",,,,"MX",2021-06-18,,413.12974028,"v02","es",,,,"San Martin Chalchicuautla",21.36330759,-98.67216913,,
"San Martín de Bolaños",,,,"MX14076","Jalisco",,,,"MX14","México",,,,"MX",2021-06-18,,690.05792864,"v02","es",,,,"San Martin de Bolanos",21.572028,-103.7915405,,
"San Martín de las Pirámides",,,,"MX15075","México",,,,"MX15","México",,,,"MX",2021-06-18,,69.93895812,"v02","es",,,,"San Martin de las Piramides",19.71607155,-98.82448662,3.38285444404001,0.594216601303703
"San Martín de los Cansecos",,,,"MX20238","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,8.31114493,"v02","es",,,,"San Martin de los Cansecos",16.65894699,-96.72562382,3.56647162651102,0.854802506765028
"San Martín Hidalgo",,,,"MX14077","Jalisco",,,,"MX14","México",,,,"MX",2021-06-18,,342.92610017,"v02","es",,,,"San Martin Hidalgo",20.45941579,-103.91182401,,
"San Martín Huamelúlpam",,,,"MX20239","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,42.77416674,"v02","es",,,,"San Martin Huamelulpam",17.39510892,-97.61306103,3.76671776985926,1.33622362971345
"San Martín Itunyoso",,,,"MX20240","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,63.73866614,"v02","es",,,,"San Martin Itunyoso",17.2225703,-97.85339568,3.83651117389989,1.63775694013383
"San Martín Lachilá",,,,"MX20241","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,10.73958248,"v02","es",,,,"San Martin Lachila",16.6116676,-96.84990414,3.62097896781091,1.11809327732392
"San Martín Peras",,,,"MX20242","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,242.70315801,"v02","es",,,,"San Martin Peras",17.37248737,-98.22840662,4.09992342184979,2.84967483449906
"San Martín Texmelucan",,,,"MX21132","Puebla",,,,"MX21","México",,,,"MX",2021-06-18,,89.56711382,"v02","es",,,,"San Martin Texmelucan",19.26598358,-98.42487812,3.47093589165774,0.725832198138248
"San Martín Tilcajete",,,,"MX20243","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,24.231442,"v02","es",,,,"San Martin Tilcajete",16.88020124,-96.69109905,3.38017270313436,0.608279148438182
"San Martín Totoltepec",,,,"MX21133","Puebla",,,,"MX21","México",,,,"MX",2021-06-18,,7.20822952,"v02","es",,,,"San Martin Totoltepec",18.65776874,-98.3545778,3.75941394236882,1.28904154735936
"San Martín Toxpalan",,,,"MX20244","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,64.1037831,"v02","es",,,,"San Martin Toxpalan",18.11017177,-97.02294895,3.38429890117199,0.580779888785968
"San Martín Zacatepec",,,,"MX20245","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,43.34337415,"v02","es",,,,"San Martin Zacatepec",17.81391584,-98.06573957,3.97885375906346,2.0477951935605
"San Mateo Atenco",,,,"MX15076","México",,,,"MX15","México",,,,"MX",2021-06-18,,18.89390262,"v02","es",,,,"San Mateo Atenco",19.26211686,-99.53700902,3.66137686519985,1.04220816131037
"San Mateo Cajonos",,,,"MX20246","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,14.68609214,"v02","es",,,,"San Mateo Cajonos",17.15428285,-96.20107432,,
"San Mateo del Mar",,,,"MX20248","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,87.74612827,"v02","es",,,,"San Mateo del Mar",16.20955383,-95.05707473,,
"San Mateo Etlatongo",,,,"MX20250","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,23.50223306,"v02","es",,,,"San Mateo Etlatongo",17.42341715,-97.26022496,3.65285161475114,1.00538516419852
"San Mateo Nejápam",,,,"MX20251","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,63.9714373,"v02","es",,,,"San Mateo Nejapam",17.64571473,-98.4298728,4.20830433432203,3.41553101444934
"San Mateo Peñasco",,,,"MX20252","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,55.8845715,"v02","es",,,,"San Mateo Penasco",17.14002609,-97.46546176,3.78421649870057,1.30036762000201
"San Mateo Piñas",,,,"MX20253","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,161.77959066,"v02","es",,,,"San Mateo Pinas",15.97481279,-96.34557855,3.17232311536213,0.431312750478527
"San Mateo Río Hondo",,,,"MX20254","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,211.13441129,"v02","es",,,,"San Mateo Rio Hondo",16.09946615,-96.56999353,3.3798464818988,0.577365925965858
