"state","municipality","year","quarter","remittances_musd","mean_intensity","event"
"Aguascalientes","Asientos",2020,4,2431.872,0,NA
"Aguascalientes","Asientos",2021,1,2433.211,0,NA
"Aguascalientes","Asientos",2021,2,3212.922,0,NA
"Aguascalientes","Asientos",2021,3,3341.644,0,"2021_M7.0_acapulco"
"Aguascalientes","Asientos",2021,4,3513.433,0,NA
"Aguascalientes","Asientos",2022,1,3207.481,0,NA
"Aguascalientes","Asientos",2022,2,4238.066,0,NA
"Aguascalientes","Asientos",2022,3,2794.456,0,"2022_M6.8_aguililla"
"Aguascalientes","Asientos",2022,4,2609.508,0,NA
"Aguascalientes","Asientos",2023,1,2110.338,0,NA
"Aguascalientes","Asientos",2023,2,2487.301,0,NA
"Aguascalientes","Asientos",2023,3,2556.2,0,NA
"Aguascalientes","Asientos",2023,4,2595.739,0,NA
"Aguascalientes","Asientos",2024,1,2061.161,0,NA
"Aguascalientes","Asientos",2024,2,2602.22,0,NA
"Aguascalientes","Asientos",2024,3,2701.753,0,NA
"Aguascalientes","Asientos",2024,4,2542.689,0,NA
"Aguascalientes","Asientos",2025,1,2146.409,0,NA
"Aguascalientes","Asientos",2025,2,2555.421,0,NA
"Aguascalientes","Asientos",2025,3,2306.994,0,NA
"Aguascalientes","Asientos",2025,4,1870.158,0,NA
"Aguascalientes","Calvillo",2013,1,10178.654,0,NA
"Aguascalientes","Calvillo",2013,2,13007.311,0,NA
"Aguascalientes","Calvillo",2013,3,13560.433,0,NA
"Aguascalientes","Calvillo",2013,4,12255.393,0,NA
"Aguascalientes","Calvillo",2014,1,12457.806,0,NA
"Aguascalientes","Calvillo",2014,2,15183.738,0,"2014_M7.2_coyuquilla_norte"
"Aguascalientes","Calvillo",2014,3,16484.665,0,"2014_M6.9_puerto_madero"
"Aguascalientes","Calvillo",2014,4,16178.299,0,NA
"Aguascalientes","Calvillo",2015,1,14820.626,0,NA
"Aguascalientes","Calvillo",2015,2,16968.338,0,NA
"Aguascalientes","Calvillo",2015,3,19539.108,0,NA
"Aguascalientes","Calvillo",2015,4,17466.998,0,NA
"Aguascalientes","Calvillo",2016,1,17236.465,0,NA
"Aguascalientes","Calvillo",2016,2,20321.942,0,NA
"Aguascalientes","Calvillo",2016,3,21244.25,0,NA
"Aguascalientes","Calvillo",2016,4,20426.799,0,NA
"Aguascalientes","Calvillo",2017,1,19565.801,0,NA
"Aguascalientes","Calvillo",2017,2,21678.634,0,NA
"Aguascalientes","Calvillo",2017,3,23301.668,0,"2017_M7.1_matzaco"
"Aguascalientes","Calvillo",2017,4,21881.016,0,NA
"Aguascalientes","Calvillo",2018,1,18291.227,0,"2018_M7.2_pinotepa"
"Aguascalientes","Calvillo",2018,2,24435.202,0,NA
"Aguascalientes","Calvillo",2018,3,22897.106,0,NA
"Aguascalientes","Calvillo",2018,4,24548.82,0,NA
"Aguascalientes","Calvillo",2019,1,19661.748,0,"2019_M6.7_puerto_madero"
"Aguascalientes","Calvillo",2019,2,23824.148,0,NA
"Aguascalientes","Calvillo",2019,3,26738.122,0,NA
"Aguascalientes","Calvillo",2019,4,24396.324,0,NA
"Aguascalientes","Calvillo",2020,1,24997.722,0,NA
"Aguascalientes","Calvillo",2020,2,24401.831,0,"2020_M7.4_Santa_Maria_Xadani"
"Aguascalientes","Calvillo",2020,3,22695.943,0,NA
"Aguascalientes","Calvillo",2020,4,24641.266,0,NA
"Aguascalientes","Calvillo",2021,1,23922.551,0,NA
"Aguascalientes","Calvillo",2021,2,31256.883,0,NA
"Aguascalientes","Calvillo",2021,3,31681.861,0,"2021_M7.0_acapulco"
"Aguascalientes","Calvillo",2021,4,32795.604,0,NA
"Aguascalientes","Calvillo",2022,1,25418.26,0,NA
"Aguascalientes","Calvillo",2022,2,30942.361,0,NA
"Aguascalientes","Calvillo",2022,3,34035.223,0,"2022_M6.8_aguililla"
"Aguascalientes","Calvillo",2022,4,33246.612,0,NA
"Aguascalientes","Calvillo",2023,1,28156.394,0,NA
"Aguascalientes","Calvillo",2023,2,33876.008,0,NA
"Aguascalientes","Calvillo",2023,3,35849.537,0,NA
"Aguascalientes","Calvillo",2023,4,33154.972,0,NA
"Aguascalientes","Calvillo",2024,1,27632.892,0,NA
"Aguascalientes","Calvillo",2024,2,36543.144,0,NA
"Aguascalientes","Calvillo",2024,3,39715.545,0,NA
"Aguascalientes","Calvillo",2024,4,36611.37,0,NA
"Aguascalientes","Calvillo",2025,1,31107.611,0,NA
"Aguascalientes","Calvillo",2025,2,35324.419,0,NA
"Aguascalientes","Calvillo",2025,3,38071.048,0,NA
"Aguascalientes","Calvillo",2025,4,36714.903,0,NA
