state,municipality,matched_quarters,total_quarters,fully_matched
Chiapas,Siltepec,48,48,TRUE
Chiapas,Simojovel,48,48,TRUE
Chiapas,Sitalá,48,48,TRUE
Chiapas,Socoltenango,48,48,TRUE
Chiapas,Solosuchiapa,48,48,TRUE
Chiapas,Soyaló,48,48,TRUE
Chiapas,Suchiapa,48,48,TRUE
Chiapas,Suchiate,48,48,TRUE
Chiapas,Sunuapa,48,48,TRUE
Chiapas,Tapachula,48,48,TRUE
Chiapas,Tapalapa,48,48,TRUE
Chiapas,Tapilula,48,48,TRUE
Chiapas,Tecpatán,48,48,TRUE
Chiapas,Tenejapa,48,48,TRUE
Chiapas,Teopisca,48,48,TRUE
Chiapas,Tila,48,48,TRUE
Chiapas,Tonalá,48,48,TRUE
Chiapas,Totolapa,48,48,TRUE
Chiapas,Tumbalá,48,48,TRUE
Chiapas,Tuxtla Chico,48,48,TRUE
Chiapas,Tuxtla Gutiérrez,48,48,TRUE
Chiapas,Tuzantán,48,48,TRUE
Chiapas,Tzimol,48,48,TRUE
Chiapas,Unión Juárez,48,48,TRUE
Chiapas,Venustiano Carranza,48,48,TRUE
Chiapas,Villa Comaltitlán,48,48,TRUE
Chiapas,Villa Corzo,48,48,TRUE
Chiapas,Villaflores,48,48,TRUE
Chiapas,Yajalón,48,48,TRUE
Chiapas,Zinacantán,48,48,TRUE
Chihuahua,Ahumada,48,48,TRUE
Chihuahua,Aldama,48,48,TRUE
Chihuahua,Allende,48,48,TRUE
Chihuahua,Aquiles Serdán,48,48,TRUE
Chihuahua,Ascensión,48,48,TRUE
Chihuahua,Bachíniva,48,48,TRUE
Chihuahua,Balleza,48,48,TRUE
Chihuahua,Batopilas,48,48,TRUE
Chihuahua,Bocoyna,48,48,TRUE
Chihuahua,Buenaventura,48,48,TRUE
Chihuahua,Camargo,48,48,TRUE
Chihuahua,Carichí,48,48,TRUE
Chihuahua,Casas Grandes,48,48,TRUE
Chihuahua,Chihuahua,48,48,TRUE
Chihuahua,Chínipas,48,48,TRUE
Chihuahua,Coronado,48,48,TRUE
Chihuahua,Coyame del Sotol,48,48,TRUE
Chihuahua,Cuauhtémoc,48,48,TRUE
Chihuahua,Cusihuiriachi,48,48,TRUE
Chihuahua,Delicias,48,48,TRUE
Chihuahua,Dr. Belisario Domínguez,48,48,TRUE
Chihuahua,El Tule,48,48,TRUE
Chihuahua,Galeana,48,48,TRUE
Chihuahua,Gran Morelos,48,48,TRUE
Chihuahua,Guachochi,48,48,TRUE
Chihuahua,Guadalupe,48,48,TRUE
Chihuahua,Guadalupe y Calvo,48,48,TRUE
Chihuahua,Guazapares,48,48,TRUE
Chihuahua,Guerrero,48,48,TRUE
Chihuahua,Gómez Farías,48,48,TRUE
Chihuahua,Hidalgo del Parral,48,48,TRUE
Chihuahua,Huejotitán,48,48,TRUE
Chihuahua,Ignacio Zaragoza,48,48,TRUE
Chihuahua,Janos,48,48,TRUE
Chihuahua,Jiménez,48,48,TRUE
Chihuahua,Julimes,48,48,TRUE
Chihuahua,Juárez,48,48,TRUE
Chihuahua,La Cruz,48,48,TRUE
Chihuahua,López,48,48,TRUE
Chihuahua,Madera,48,48,TRUE
Chihuahua,Maguarichi,48,48,TRUE
Chihuahua,Manuel Benavides,48,48,TRUE
