state,municipality,year,quarter,remittances_musd,mean_r,sd_r,outlier,remittances_kusd,asinh_remittances,mean_pga,event
Aguascalientes,Aguascalientes,2013,1,36.7402981996664,78.8511894496943,36.5105732021528,FALSE,36740.2981996664,11.2047766559665,0,
Aguascalientes,Aguascalientes,2013,2,42.4413911117132,78.8511894496943,36.5105732021528,FALSE,42441.3911117132,11.349026551205,0,
Aguascalientes,Aguascalientes,2013,3,37.06639736,78.8511894496943,36.5105732021528,FALSE,37066.39736,11.2136132873784,0,
Aguascalientes,Aguascalientes,2013,4,41.7954155209743,78.8511894496943,36.5105732021528,FALSE,41795.4155209743,11.3336891166693,0,
Aguascalientes,Aguascalientes,2014,1,36.6870274379502,78.8511894496943,36.5105732021528,FALSE,36687.0274379502,11.2033256764959,0,
Aguascalientes,Aguascalientes,2014,2,36.64038717247,78.8511894496943,36.5105732021528,FALSE,36640.38717247,11.2020535664126,0,2014_M7.2_coyuquilla_norte
Aguascalientes,Aguascalientes,2014,3,38.930708136762,78.8511894496943,36.5105732021528,FALSE,38930.708136762,11.2626858111656,0,2014_M6.9_puerto_madero
Aguascalientes,Aguascalientes,2014,4,39.5910280046564,78.8511894496943,36.5105732021528,FALSE,39591.0280046564,11.2795049867532,0,
Aguascalientes,Aguascalientes,2015,1,43.0889799635151,78.8511894496943,36.5105732021528,FALSE,43088.9799635151,11.3641697387921,0,
Aguascalientes,Aguascalientes,2015,2,48.6655678696776,78.8511894496943,36.5105732021528,FALSE,48665.5678696776,11.4858742144127,0,
Aguascalientes,Aguascalientes,2015,3,49.7329006687808,78.8511894496943,36.5105732021528,FALSE,49732.9006687808,11.5075691590175,0,
Aguascalientes,Aguascalientes,2015,4,47.517651578306,78.8511894496943,36.5105732021528,FALSE,47517.651578306,11.4620037138376,0,
Aguascalientes,Aguascalientes,2016,1,50.8503517592315,78.8511894496943,36.5105732021528,FALSE,50850.3517592315,11.5297894996951,0,
Aguascalientes,Aguascalientes,2016,2,54.8388593313762,78.8511894496943,36.5105732021528,FALSE,54838.8593313762,11.6053015141646,0,
Aguascalientes,Aguascalientes,2016,3,56.5213828626787,78.8511894496943,36.5105732021528,FALSE,56521.3828626788,11.6355214839222,0,
Aguascalientes,Aguascalientes,2016,4,56.5888481345131,78.8511894496943,36.5105732021528,FALSE,56588.8481345131,11.6367143959909,0,
Aguascalientes,Aguascalientes,2017,1,55.8444678862651,78.8511894496943,36.5105732021528,FALSE,55844.4678862651,11.6234729271654,0,
Aguascalientes,Aguascalientes,2017,2,60.2533458628893,78.8511894496943,36.5105732021528,FALSE,60253.3458628893,11.6994605634338,0,
Aguascalientes,Aguascalientes,2017,3,58.4520625838713,78.8511894496943,36.5105732021528,FALSE,58452.0625838713,11.6691094349154,0,2017_M7.1_matzaco
Aguascalientes,Aguascalientes,2017,4,61.1062015708786,78.8511894496943,36.5105732021528,FALSE,61106.2015708786,11.713515819341,0,
Aguascalientes,Aguascalientes,2018,1,57.6524505686978,78.8511894496943,36.5105732021528,FALSE,57652.4505686978,11.6553352131253,0,2018_M7.2_pinotepa
Aguascalientes,Aguascalientes,2018,2,70.5105560708519,78.8511894496943,36.5105732021528,FALSE,70510.5560708519,11.8566648897034,0,
Aguascalientes,Aguascalientes,2018,3,65.4289229785031,78.8511894496943,36.5105732021528,FALSE,65428.9229785031,11.7818668676788,0,
Aguascalientes,Aguascalientes,2018,4,68.9929598982294,78.8511894496943,36.5105732021528,FALSE,68992.9598982294,11.834906928526,0,
Aguascalientes,Aguascalientes,2019,1,63.4564800706829,78.8511894496943,36.5105732021528,FALSE,63456.4800706829,11.7512567773233,0,2019_M6.7_puerto_madero
Aguascalientes,Aguascalientes,2019,2,73.595068332043,78.8511894496943,36.5105732021528,FALSE,73595.068332043,11.8994804767199,0,
Aguascalientes,Aguascalientes,2019,3,76.9356456732497,78.8511894496943,36.5105732021528,FALSE,76935.6456732497,11.9438717615099,0,
Aguascalientes,Aguascalientes,2019,4,72.4683897611323,78.8511894496943,36.5105732021528,FALSE,72468.3897611323,11.8840529230785,0,
Aguascalientes,Aguascalientes,2020,1,69.9109130042022,78.8511894496943,36.5105732021528,FALSE,69910.9130042022,11.8481242197401,0,
Aguascalientes,Aguascalientes,2020,2,75.3182654538564,78.8511894496943,36.5105732021528,FALSE,75318.2654538564,11.9226251340852,0,2020_M7.4_Santa_Maria_Xadani
Aguascalientes,Aguascalientes,2020,3,72.670995320778,78.8511894496943,36.5105732021528,FALSE,72670.995320778,11.8868448005708,0,
Aguascalientes,Aguascalientes,2020,4,77.8775130155634,78.8511894496943,36.5105732021528,FALSE,77877.5130155634,11.956039706033,0,
Aguascalientes,Aguascalientes,2021,1,78.1765077891353,78.8511894496943,36.5105732021528,FALSE,78176.5077891353,11.9598716500979,0,
Aguascalientes,Aguascalientes,2021,2,97.8675411881969,78.8511894496943,36.5105732021528,FALSE,97867.5411881969,12.1845174034472,0,
Aguascalientes,Aguascalientes,2021,3,96.6021835897868,78.8511894496943,36.5105732021528,FALSE,96602.1835897868,12.171503804981,0,2021_M7.0_acapulco
Aguascalientes,Aguascalientes,2021,4,102.949362155316,78.8511894496943,36.5105732021528,FALSE,102949.362155316,12.2351396973458,0,
Aguascalientes,Aguascalientes,2022,1,97.9591988559459,78.8511894496943,36.5105732021528,FALSE,97959.1988559459,12.1854535133413,0,
Aguascalientes,Aguascalientes,2022,2,123.638788723243,78.8511894496943,36.5105732021528,FALSE,123638.788723243,12.4182667799711,0,
Aguascalientes,Aguascalientes,2022,3,134.335909149298,78.8511894496943,36.5105732021528,FALSE,134335.909149298,12.5012459074593,0,2022_M6.8_aguililla
